department,file_count,percentage,total_duration_hours,avg_duration_seconds,median_duration_seconds,total_size_mb
Horticulture and Sericulture De,1.0,0.12254901960784313,0.4171277777777778,1501.66,1501.66,4.297027587890625
Medical Education Department,2.0,0.24509803921568626,0.42404444444444445,763.28,763.28,4.368919372558594
Energy Department,6.0,0.7352941176470588,1.9342277777777779,1160.5366666666666,1126.98,19.92638397216797
"Skill Development, Entrepreneur",2.0,0.24509803921568626,0.3482111111111111,626.78,626.78,3.5877914428710938
Higher Education Department,3.0,0.3676470588235294,0.8659555555555556,1039.1466666666668,998.06,8.921173095703125
Backward Classes Welfare Depart,12.0,1.4705882352941175,3.449094444444445,1034.7283333333335,1066.29,35.532875061035156
Public Works Department,14.0,1.715686274509804,3.729733333333333,959.0742857142857,823.8199999999999,38.42523193359375
Department of School Education ,13.0,1.5931372549019607,3.9804555555555554,1102.28,1009.72,41.00653839111328
Urban Development  Department,178.0,21.813725490196077,33.62683888888889,680.0933707865169,615.72,346.4739074707031
"Forest,Ecology and Environment ",9.0,1.1029411764705883,2.1338,853.52,942.72,21.983848571777344
Home Department,20.0,2.450980392156863,5.1392,925.0559999999999,848.14,52.946754455566406
Animal Husbandary and Fisheries,5.0,0.6127450980392157,1.3174333333333335,948.552,887.96,13.572509765625
Agriculture Department,45.0,5.514705882352941,10.107461111111114,808.5968888888891,760.74,104.13617706298828
Department of Cooperation,88.0,10.784313725490197,21.999233333333336,899.9686363636364,834.1700000000001,226.64698791503906
Commerce and Industries Departm,5.0,0.6127450980392157,1.3697388888888888,986.2119999999999,968.78,14.11138916015625
Health and Family Welfare Department,18.0,2.2058823529411766,3.8947555555555557,778.9511111111111,653.2,40.1275634765625
Scheduled Tribes Welfare Depart,5.0,0.6127450980392157,1.1874444444444443,854.9599999999998,822.04,12.233757019042969
Department of Social Welfare,15.0,1.8382352941176472,4.121955555555555,989.2693333333333,1074.4,42.46538543701172
Labour Department,18.0,2.2058823529411766,5.0831,1016.62,864.44,52.367706298828125
Minorites Welfare Department,4.0,0.49019607843137253,0.8827388888888889,794.4649999999999,851.31,9.094619750976562
Housing Department,31.0,3.799019607843137,7.377616666666666,856.7554838709676,803.86,76.00918579101562
RDPR,192.0,23.52941176470588,37.404177777777775,701.3283333333333,686.6800000000001,385.3885803222656
Food and Civil Supplies Department,10.0,1.2254901960784315,2.792516666666667,1005.3060000000002,968.3900000000001,28.76927947998047
Transport Department,37.0,4.534313725490196,10.15087777777778,987.6529729729731,883.62,104.57762145996094
Revenue Department,59.0,7.230392156862746,13.183344444444444,804.4074576271187,772.56,135.8258285522461
Water Resources Department,1.0,0.12254901960784313,0.4178,1504.08,1504.08,4.303825378417969
Department of Women and Child W,23.0,2.8186274509803924,5.675011111111111,888.2626086956523,848.6,58.46717834472656
