file_path,relative_path,filename,department,duration_seconds,sample_rate,channels,sample_width,bit_rate,codec,file_size_mb
/Users/chaitanyakartik/Projects/asr-finetuning/AI-ML/Horticulture and Sericulture De/Horticulture and Sericulture Department/Horticulture and Sericulture Department/243601-.mp3,Horticulture and Sericulture De/Horticulture and Sericulture Department/Horticulture and Sericulture Department/243601-.mp3,243601-.mp3,Horticulture and Sericulture De,1501.66,8000,1,2,24004,mp3,4.297027587890625
/Users/chaitanyakartik/Projects/asr-finetuning/AI-ML/Medical Education Department/Medical Education Department/Medical Education Department/233190-.mp3,Medical Education Department/Medical Education Department/Medical Education Department/233190-.mp3,233190-.mp3,Medical Education Department,783.0,8000,1,2,24006,mp3,2.2407989501953125
/Users/chaitanyakartik/Projects/asr-finetuning/AI-ML/Medical Education Department/Medical Education Department/Medical Education Department/230049-.mp3,Medical Education Department/Medical Education Department/Medical Education Department/230049-.mp3,230049-.mp3,Medical Education Department,743.56,8000,1,2,24008,mp3,2.1281204223632812
/Users/chaitanyakartik/Projects/asr-finetuning/AI-ML/Energy Department/Energy department/Energy department/221852.mp3,Energy Department/Energy department/Energy department/221852.mp3,221852.mp3,Energy Department,1274.52,8000,1,2,24004,mp3,3.6471176147460938
/Users/chaitanyakartik/Projects/asr-finetuning/AI-ML/Energy Department/Energy department/Energy department/245724.mp3,Energy Department/Energy department/Energy department/245724.mp3,245724.mp3,Energy Department,929.8,8000,1,2,24005,mp3,2.6608200073242188
/Users/chaitanyakartik/Projects/asr-finetuning/AI-ML/Energy Department/Energy department/Energy department/229490.mp3,Energy Department/Energy department/Energy department/229490.mp3,229490.mp3,Energy Department,979.44,8000,1,2,24006,mp3,2.8029556274414062
/Users/chaitanyakartik/Projects/asr-finetuning/AI-ML/Energy Department/Energy department/Energy department/244245.mp3,Energy Department/Energy department/Energy department/244245.mp3,244245.mp3,Energy Department,946.1,8000,1,2,24006,mp3,2.70758056640625
/Users/chaitanyakartik/Projects/asr-finetuning/AI-ML/Energy Department/Energy department/Energy department/244227.mp3,Energy Department/Energy department/Energy department/244227.mp3,244227.mp3,Energy Department,1398.9,8000,1,2,24004,mp3,4.003074645996094
/Users/chaitanyakartik/Projects/asr-finetuning/AI-ML/Energy Department/Energy department/Energy department/244546 .mp3,Energy Department/Energy department/Energy department/244546 .mp3,244546 .mp3,Energy Department,1434.46,8000,1,2,24004,mp3,4.104835510253906
"/Users/chaitanyakartik/Projects/asr-finetuning/AI-ML/Skill Development, Entrepreneur/Skill Development, Entrepreneurship and Livelihood Department/Skill Development, Entrepreneurship and Livelihood Department/239581-.mp3","Skill Development, Entrepreneur/Skill Development, Entrepreneurship and Livelihood Department/Skill Development, Entrepreneurship and Livelihood Department/239581-.mp3",239581-.mp3,"Skill Development, Entrepreneur",787.38,8000,1,2,24006,mp3,2.2533645629882812
"/Users/chaitanyakartik/Projects/asr-finetuning/AI-ML/Skill Development, Entrepreneur/Skill Development, Entrepreneurship and Livelihood Department/Skill Development, Entrepreneurship and Livelihood Department/227722.mp3","Skill Development, Entrepreneur/Skill Development, Entrepreneurship and Livelihood Department/Skill Development, Entrepreneurship and Livelihood Department/227722.mp3",227722.mp3,"Skill Development, Entrepreneur",466.18,8000,1,2,24012,mp3,1.3344268798828125
/Users/chaitanyakartik/Projects/asr-finetuning/AI-ML/Higher Education Department/Higher Education Department/Higher Education Department/220456-.mp3,Higher Education Department/Higher Education Department/Higher Education Department/220456-.mp3,220456-.mp3,Higher Education Department,998.06,8000,1,2,24005,mp3,2.8561019897460938
/Users/chaitanyakartik/Projects/asr-finetuning/AI-ML/Higher Education Department/Higher Education Department/Higher Education Department/239092-.mp3,Higher Education Department/Higher Education Department/Higher Education Department/239092-.mp3,239092-.mp3,Higher Education Department,605.2,8000,1,2,24009,mp3,1.7322006225585938
/Users/chaitanyakartik/Projects/asr-finetuning/AI-ML/Higher Education Department/Higher Education Department/Higher Education Department/240194-.mp3,Higher Education Department/Higher Education Department/Higher Education Department/240194-.mp3,240194-.mp3,Higher Education Department,1514.18,8000,1,2,24004,mp3,4.3328704833984375
/Users/chaitanyakartik/Projects/asr-finetuning/AI-ML/Backward Classes Welfare Depart/Backward Classes Welfare Department/Backward Classes Welfare Department/235521-.mp3,Backward Classes Welfare Depart/Backward Classes Welfare Department/Backward Classes Welfare Department/235521-.mp3,235521-.mp3,Backward Classes Welfare Depart,635.44,8000,1,2,24009,mp3,1.8187179565429688
/Users/chaitanyakartik/Projects/asr-finetuning/AI-ML/Backward Classes Welfare Depart/Backward Classes Welfare Department/Backward Classes Welfare Department/215600-.mp3,Backward Classes Welfare Depart/Backward Classes Welfare Department/Backward Classes Welfare Department/215600-.mp3,215600-.mp3,Backward Classes Welfare Depart,880.62,8000,1,2,24006,mp3,2.5201263427734375
/Users/chaitanyakartik/Projects/asr-finetuning/AI-ML/Backward Classes Welfare Depart/Backward Classes Welfare Department/Backward Classes Welfare Department/229755-.mp3,Backward Classes Welfare Depart/Backward Classes Welfare Department/Backward Classes Welfare Department/229755-.mp3,229755-.mp3,Backward Classes Welfare Depart,1535.52,8000,1,2,24003,mp3,4.3938446044921875
