G.Id,Grievance Description,Department,Line Department,Service Name,Grievance Name,Grievance SubCategory1,Grievance SubCategory2,Service Type,District,Taluk,GP/Village/Hobli,Created Date,Status,Days Left Before Escalation,Days Pending Beyond Deadline,Officer Role,Pending with / Closed By,Grievance Source,call recording link ,Unnamed: 20
243641,"The citizen claims that the street light in his village has been out of commission for the past 3 years, making it impossible for the residents to walk at night from one location to another. The citizen has visited the relevant department, but they have not responded appropriately to his request.",Rural Development and Panchayath Raj Department,Karnataka Panchayat Raj Commissionerate,Maintenance of Street Light,Issues in Maintenance of Street Light,Street Light is Not Working,,Non Sakala,BENGALURU RURAL,Nelamangala,,31/05/2025 03:07 PM,Registered & Sent for Scrutiny,1.0,,LMF,Panchayat Development Officer(PDO) - NELAMANGALA - T.BEGURU,iPGRS-Call Center ,https://drive.google.com/file/d/1XfxJYNfCes41JpXIkj03oQ4WvhZ8L9xx/view?usp=sharing,
243640,"The resident claims that for the past 10 days there has been drainage blockage and overflow in his village. As a result, day by day, mosquitoes are growing and residents are experiencing health problems. The resident has visited the appropriate department, but they have not responded appropriately. As per the resident's request, kindly take the neccesary action.",Rural Development and Panchayath Raj Department,Rural Drinking Water & Sanitation,Provision of Sanitation,Facing problem pertaining to Sanitation,Problems pertaining to Liquid Waste,Drainage line blocked,Non Sakala,BENGALURU RURAL,Nelamangala,,31/05/2025 03:02 PM,InProcess,14.0,,L2,Executive Officer-ZP -EO-NELAMANGALA,iPGRS-Call Center ,https://drive.google.com/file/d/1dNmYuh8i7R9sDxweVhGNojxeiA8yS9Gz/view?usp=sharing,
243596,"CITIZEN SAYS THAT IN THEIR LOCALITY DRAINAGE HAS BEEN BLOCKED SINCE FARM PAST 2 YEARS AND OVERFLOWING DUE TO THIS MOSQUITOES AND GROWING DAY BY DAY AND BAD SMELL IS ARISING AND THEY ARE FEAR OF HEALTH RISK, HE HAS ALSO VISITED CONCERNED DEPARTMENT BUT NO NECESSARY ACTION HAS BEEN TAKE SO FAR, PLEASE KINDLY TAKE ACTION.",Rural Development and Panchayath Raj Department,Rural Drinking Water & Sanitation,Provision of Sanitation,Facing problem pertaining to Sanitation,Problems pertaining to Liquid Waste,Drainage line blocked,Non Sakala,RAMANAGARA,Magadi,LAKKENAHALLI / Lakkenahalli,31/05/2025 10:45 AM,InProcess,14.0,,L2,Executive Officer-ZP -EO-MAGADI,iPGRS-Call Center ,https://drive.google.com/file/d/1dNmYuh8i7R9sDxweVhGNojxeiA8yS9Gz/view?usp=sharing,
243469,"The citizen claims that they have been dealing with drainage problems for the past two years, that there is no drainage facility, and that the drainage system is not being properly maintained.due to this issues citizen are facing a problem The citizen visited the department as well, but they received no appropriate response. Please take the necessary action.",Rural Development and Panchayath Raj Department,Rural Drinking Water & Sanitation,Provision of Sanitation,Facing problem pertaining to Sanitation,Problems pertaining to Liquid Waste,No proper Drainage system,Non Sakala,TUMAKURU,Koratagere,ARASAPURA / Byrenahalli,30/05/2025 04:15 PM,InProcess,9.0,,L2,Executive Officer-ZP -EO-KORATAGERE,iPGRS-Call Center ,https://drive.google.com/file/d/1m42j9zPWX5rrsP7wpbFZKC_mUaxL2luT/view?usp=sharing,
243464,"CITIZEN SAYS THAT IN HIS LOCALITY HE IS FACING ROAD ISSUES FROM PAST MANY YEARS .AND HE IS SAYING ROAD IS NOT MAINTAINED PROPERLY AND DUE TO HEAVY RAIN ROAD IS BEEN DAMAGED, DUE TO THIS ISSUE THEY ARE NOT ABLE TO WALK IN THE ROAD.AND ALSO CITIZEN VISITED THE CONSED DEPARTMENT BUT THERE IS NO PROPER RESPOND SO AS PER THE CITIZEN REQUEST PLEASE DO THE NEEDFUL.	",Rural Development and Panchayath Raj Department,"Director, Rural Development",Village Internal Roads,Connectivity issue pertaining to internal roads,Road damaged due to heavy rain or flood,,Non Sakala,UDUPI,Kundapura,TRASI / Trashi,30/05/2025 03:29 PM,InProcess,25.0,,LMF,Assistant Executive Engineer-PRED-Kundapura,iPGRS-Call Center ,https://drive.google.com/file/d/1Gp5FVmhkdJk_AOi_iWGSuk78BS8tIooE/view?usp=sharing,
243427,"CITIZEN SAYS THAT IN THEIR LOCALITY DRAINAGE HAS BEEN BLOCKED SINCE FRAM PAST 2 YEARS AND OVERFLOWING DUE TO THIS MOSQUITOES AND GROWING DAY BY DAY AND BAD SMELL IS ARISING AND THEY ARE FEAR OF HEALTH RISK, HE HAS ALSO VISITED CONCERNED DEPARTMENT BUT NO NECESSARY ACTION HAS BEENTAKE SO FAR, PLEASE KINDLY TAKE ACTION.",Rural Development and Panchayath Raj Department,Rural Drinking Water & Sanitation,Provision of Sanitation,Facing problem pertaining to Sanitation,Problems pertaining to Liquid Waste,Drainage line blocked,Non Sakala,BENGALURU RURAL,Dodda Ballapur,HADRIPURA / Rameswara,30/05/2025 11:41 AM,Closed by Officer,,,LMF,Panchayat Development Officer(PDO) - DODBALLAPUR - HADRIPURA,iPGRS-Call Center ,https://drive.google.com/file/d/15yLQVeQuTwPMhn1G1kQ_A2eLl5M4axIg/view?usp=sharing,
243374,"Citizen reports that in their locality Road not maintained properly in their locality past 1 year, which is effecting to walk in that mud road and it is unsafe to travel in that road & Potholes, cracks, and uneven surfaces can cause vehicles to skid, lose control, or collide, increasing the risk of accidents. It is unsafe for the senior citizen to walk on this road. He has also visited concerned department but no necessary action has been taken so far, Please do the needful.",Rural Development and Panchayath Raj Department,"Director, Rural Development",Village Internal Roads,Connectivity issue pertaining to internal roads,Road not maintained properly,,Non Sakala,UTTARA KANNADA,DANDELI,ALUR / Alur,29/05/2025 05:42 PM,InProcess,24.0,,LMF,Assistant Executive Engineer-PRED-Dandeli,iPGRS-Call Center ,https://drive.google.com/file/d/1udbInS1FOWbbw23aQkC7NevUqoF2y3u_/view?usp=sharing,
243307,CITIZEN SAYS THAT THERE IS NO DRINKING WATER SUPPLY IN THEIR VILLAGE FOR 20 HOUSES SINCE 3 MONTHS AND THIS GRIEVANCE WAS REGISTER PREVIOUSLY BUT OFFICER HAS REPLIED ISSUE SOLVED BUT PROBLEM HAS BEEN NOT SOLVED AND THERE IS A SERIOUS CONCERN THAT THEY ARE FACING MANY PROBLEM WITHOUT WATER . PLEASE KINDLY TAKE IMMEDIATE ACTION.,Rural Development and Panchayath Raj Department,Karnataka Panchayat Raj Commissionerate,Disconnection of Water Supply ,Issues in Disconnection of Water Supply,Delay in Service Delivery,,Non Sakala,TUMAKURU,Chiknayakanhalli,TIMMALAAPURA / Nandihalli,29/05/2025 01:09 PM,Closed by Officer,,,LMF,Panchayat Development Officer(PDO) - CHIKNAYAKANHALLI - THIMMALAPURA,iPGRS-Call Center ,https://drive.google.com/file/d/1jZ3gfjjGJWAoe7Cpe2WSnqNRdI76Jn1k/view?usp=sharing,
243258,CITIZEN SAYS THAT HE HAS APPLIED FOR HOUSE UNDER BASAVA VASATHI YOJANE IN GRAM PANCHAYATH AS ON 16/04/2025 AND HIS APPLICATION NUMBER IS 704372 BUT TILL NOW HIS BILL AMOUNT HAS BEEN NOT SANCTIONED AND HE DID NOT RECEIVE THE AMOUNT . PLEASE KINDLY TAKE ACTION.,Rural Development and Panchayath Raj Department,Karnataka Panchayat Raj Commissionerate,Housing,Issues Related to Basava Vasathi,Delay in payment,,Non Sakala,RAICHUR,Lingsugur,RODALABANDA (U.K.P.) / Toral Benchi,29/05/2025 10:52 AM,InProcess,9.0,,LMF,Panchayat Development Officer(PDO) - LINGSUGUR - RODALBANDA U.K.P.,iPGRS-Call Center ,https://drive.google.com/file/d/1C5BIPdMLpBs3FIHIURkzj4c8AED6bczI/view?usp=sharing,
243254,"Citizen says that In his locality,"" Near NEAR AJANEYA TEMPLE, HARNAPUR VILLAGE, ಹರಿಣಾಪೂರ-ನಂದವಾಡಗಿ, ಇಲಕಲ್ಲ, ಬಾಗಲಕೋಟೆ - 587125"" . The drainage has been completely blocked for the past 2 years, and the citizen has raised a complaint at Janaspandan on several occasions without receiving a resolution. He has also visited the concerned department on this matter without receiving a resolution. Please take the necessary action.
",Rural Development and Panchayath Raj Department,Karnataka Panchayat Raj Commissionerate,Housing,Rain Damage Rehabilation,Delay in Photo capturing,,Non Sakala,BAGALKOTE,ILKAL,NANDWADGI / Nandavadgi,29/05/2025 10:40 AM,InProcess,6.0,,L2,Executive Officer -2-ILKAL,iPGRS-Call Center ,https://drive.google.com/file/d/1-eLMje5mpV4xljZKAHlluPCkN8viDYWV/view?usp=sharing,
