G.Id,Grievance Description,Department,Line Department,Service Name,Grievance Name,Grievance SubCategory1,Grievance SubCategory2,Service Type,District,Taluk,GP/Village/Hobli,Created Date,Status,Days Left Before Escalation,Days Pending Beyond Deadline,Officer Role,Pending with / Closed By,Grievance Source,Unnamed: 19,Google Drive Link
243638,"The citizen claims that there hasn't been a proper drinking water facility in his neighbourhood for the past 20 days, and as a result, residents are having problems with water. The citizen visited the appropriate department, but they didn't respond appropriately, so he asked that they please take the necessary action.",Urban Development Department,Directorate of Municipal Administration (DMA),Providing Tap and Underground drainage Connection(CMC),"Issues related to
tap and underground
drainage connection","Water Supply not
 provided-259",,Non Sakala,VIJAYAPURA,Vijayapura,,31/05/2025 02:52 PM,InProcess,1.0,,LMF,Municipal Commissioner-VIJAYAPURA-VIJAYAPURA,iPGRS-Call Center ,,https://drive.google.com/file/d/1r1lh0f-ykyF87cGvb_2i0kybEJ7WrYqw/view?usp=sharing
243593,"The citizen states that in his Locality ""WARD NO : 08, SANGHAM ROAD, Opposite HEAD POST OFFICE CS ROAD, KUNDAPURA TOWN, ಕು೦ದಾಪುರ, ಉಡುಪಿ - 576201 ""street light is not working form 1 week  so citizen has visited concerned department regarding this matter, but no resolution has been obtained. Please take the necessary action. 
",Urban Development Department,Directorate of Municipal Administration (DMA),"Electrical(TMC,TP)",Street light not working-136,,,Non Sakala,UDUPI,Kundapura,,31/05/2025 10:29 AM,InProcess,13.0,,L2,Project Director-Udupi-Udupi,iPGRS-Call Center ,,
243589,"Citizen reports that in their locality garbage vehicle not arriving past 15 days. It can be lead Accumulated garbage attracts mosquitoes, flies, rats, and other pests, increasing the risk of diseases like dengue, malaria, and food poisoning. Please do the needful. ",Urban Development Department,Directorate of Municipal Administration (DMA),Solid Waste (Garbage) Related(CMC),Garbage Vehicle not arrived-323,,,Non Sakala,HASSAN,Hassan,,31/05/2025 09:58 AM,Closed by Officer,,,L2,Project Director-Hassan-Hassan,iPGRS-Call Center ,,https://drive.google.com/file/d/1A974GX0sXCR8DY4aA7sGLVuPZCl5-XQt/view?usp=sharing
243367,CITIZEN SAYS THAT IN THEIR LOCALITY 3 STREET LIGHT IS NOT WORKING SINCE 1 MONTH AND HE KINDLY REQUEST TO SOLVE THE ISSUE AND FIX LIGHTS . PLEASE KINDLY TAKE ACTION.,Urban Development Department,Directorate of Municipal Administration (DMA),Electrical(CMC),Street light not working-336,,,Non Sakala,HASSAN,Hassan,,29/05/2025 04:35 PM,Closed by Officer,,,L2,Project Director-Hassan-Hassan,iPGRS-Call Center ,,https://drive.google.com/file/d/1YLdB0jc5n5dkdbl87Y-9251zLoU43YT6/view?usp=sharing
243365,"The citizen claims that the street light in his neighbourhood has been out of commission for the past month, making it impossible for them to travel at night. As a result, the citizen visited the relevant department, but they did not respond appropriately. As a result, the citizen requested that the necessary actions be taken.",Urban Development Department,Directorate of Municipal Administration (DMA),Electrical(CMC),Street light not working-336,,,Non Sakala,BELAGAVI,NIPPANI,,29/05/2025 04:26 PM,Closed by Officer,,,L2,Project Director-Belagavi-Belagavi,iPGRS-Call Center ,,https://drive.google.com/file/d/1rnZwUBrio9cD8z_mMf-vmuYUq5cQm2Lw/view?usp=sharing
243294,"CITIZEN SAYS THAT IN HIS LOCALITY THERE NO PROPER ROAD MAINTENANCE FROM PAST 15 YEARS, DUE TO THIS ISSUE CITIZENS ARE FACING TRAVEL TO ONE PLACE TO ANOTHER PLACE, DUE TO THIS ISSUE CITIZEN VISITED RESPECTIVE DEPARTMENT BUT THERE IS NO PROPER RESPONSE FROM THEM AS PER CITIZEN REQUEST KINDLY DO THE NEEDFUL",Urban Development Department,Directorate of Municipal Administration (DMA),Road Maintainance(Corporations) ,Issues related to Footpath maintenance-509,,,Non Sakala,DHARWAD,Hubballi,,29/05/2025 12:17 PM,Closed by Officer,,,L2,Deputy Commissioner Development -Hubli-Dharwad-Dharwad,iPGRS-Call Center ,,https://drive.google.com/file/d/1GiZ0d-SPOtGIJvX-GB9N28GtC8WmVLGX/view?usp=sharing
243293,CITIZEN SAYS THAT IN ABOVE MENTIONED ADDRESS STREET LIGHT (POLE NUMBER 91) IS NOT WORKING FROM PAST 15 DAYS THEY COMPLAINED TO CONCERN DEPARTMENT BUT NO ANY RESPONSE PLEASE DO THE NEEDFUL,Urban Development Department,Directorate of Municipal Administration (DMA),Electrical(CMC),Street light not working-336,,,Non Sakala,GADAG,Gadag,,29/05/2025 12:08 PM,InProcess,11.0,,L2,Project Director-Gadag-Gadag,iPGRS-Call Center ,,
243277,CITIZEN SAYS THAT THERE IS A REQUIREMENT OF NUMBER OF NEW STREET LIGHT IN THEIR LOCALITY DUE TO THEY ARE FACING DIFFICULT TO TRAVEL BY THIS ROAD . PLEASE KINDLY TAKE ACTION .,Urban Development Department,Directorate of Municipal Administration (DMA),"Electrical(TMC,TP)",Requirement for new street lights -141,,,Non Sakala,KALABURAGI,Sedam,,29/05/2025 11:22 AM,Registered & Sent for Scrutiny,1.0,,LMF,Chief Officer -Sedam-Sedam,iPGRS-Call Center ,,https://drive.google.com/file/d/1tAdNkrA0NMdHHX5yBRelGiDHeNr-8_Kj/view?usp=sharing
243272,CITIZEN SAYS THAT IN THEIR LOCALITY FROM SHAKHIL HOUSE TILL NANDI KUMAR HOUSE INTERNAL ROAD SINCE 3 YEARS THERE IS NO PROPER ROAD FACILITY AS ROAD IS COVERED WITH BLACK SOIL HENCE THERE IS NEED TO CONSTRUCT NEW ROAD AS CITIZEN ARE FACING PROBLEM TO PASS THIS ROAD . PLEASE KINDLY DO NEEDFUL.,Urban Development Department,Directorate of Municipal Administration (DMA),"Road Maintainance(TMC,TP) ",Issues related to Potholes-112,,,Non Sakala,KALABURAGI,Sedam,,29/05/2025 11:12 AM,Registered & Sent for Scrutiny,1.0,,LMF,Chief Officer -Sedam-Sedam,iPGRS-Call Center ,,https://drive.google.com/file/d/1OZBjy_xx8hBDfSkD8Pgja9edHVlfvvI0/view?usp=sharing
243136,CITIZEN SAYS THAT IN THEIR LOCALITY DRAINAGE HAS BEEN BLOCKED AND OVERFLOWING SINCE 2 DAYS AND HE REQUEST TO CLEAR THE BLOCKAGE . PLEASE KINDLY TAKE ACTION.,Urban Development Department,Directorate of Municipal Administration (DMA),Providing Tap and Underground drainage Connection(Corporations),Issues related to Drainage Blockages ,,,Non Sakala,MYSURU,Mysuru,,28/05/2025 01:27 PM,Closed by Officer,,,L2,Deputy Commissioner Development -Mysuru-Mysuru,iPGRS-Call Center ,,https://drive.google.com/file/d/1HCnobrmUJK93Ne3dgP5ANqnzbicEIbQG/view?usp=drive_link
